date,WaterLevel,Discharge,WaterTemperature,EC,Humidity,WindDir,AirTemp,WindSpeed
31/5/2021 14:30,30.86,4772.72,12.7,118.1,23,320,16.4,13
31/5/2021 15:00,30.86,4730.43,12.8,117.3,25,310,16,13
31/5/2021 15:30,30.862,4907.36,12.8,117.6,27,280,15.5,9.4
31/5/2021 16:00,30.86,4686.46,12.8,117.7,31,0,15.2,0
31/5/2021 16:30,30.86,5035.27,12.7,117.9,31,0,14.4,0
31/5/2021 17:00,30.858,4813.02,12.7,117.9,40,0,13.2,0
31/5/2021 17:30,30.859,4728.67,12.6,117.9,42,0,12,0
31/5/2021 18:00,30.86,4948.07,12.6,117.9,47,0,11.1,0
31/5/2021 18:30,30.859,4858.01,12.5,117.9,50,0,10.2,0
31/5/2021 19:00,30.86,4904.47,12.5,117.6,50,0,9.6,0
31/5/2021 19:30,30.859,4772.26,12.4,117.6,53,0,8.6,0
31/5/2021 20:00,30.86,4816.11,12.3,117.6,56,0,7.3,0
31/5/2021 20:30,30.859,4814.87,12.3,117.6,57,0,6.5,0
31/5/2021 21:00,30.861,4688.26,12.3,117.6,60,0,6,0
31/5/2021 21:30,30.86,4903.51,12.2,117.3,68,0,5,0
31/5/2021 22:00,30.861,4687.23,12.2,117.3,69,110,5.2,7.6
31/5/2021 22:30,30.861,4600.04,12.2,117.7,63,90,6.5,7.6
31/5/2021 23:00,30.861,4687.26,12.2,117.7,59,90,6.5,7.6
31/5/2021 23:30,30.861,4818.41,12.2,117.7,61,0,6.1,0
1/6/2021 0:00,30.861,4687.66,12.2,117.8,60,90,6.6,7.6
1/6/2021 0:30,30.863,4603.13,12.2,117.4,58,50,6.7,5.4
1/6/2021 1:00,30.862,4907.21,12.1,117.4,58,40,6.8,7.6
1/6/2021 1:30,30.862,4776.39,12.1,117.4,62,60,5.8,5.4
1/6/2021 2:00,30.863,4864.96,12.1,117.4,62,40,6.1,7.6
1/6/2021 2:30,30.861,4993.03,12.1,117.8,61,50,6,7.6
1/6/2021 3:00,30.863,4821.44,12.1,117.4,61,70,6.2,7.6
1/6/2021 3:30,30.864,4779.3,12.1,117.4,51,70,7.8,9.4
1/6/2021 4:00,30.863,5039.97,12.1,117.5,52,40,7.6,5.4
1/6/2021 4:30,30.865,4737.22,12.1,117.8,52,70,7.5,5.4
1/6/2021 5:00,30.864,4823.08,12.1,117.8,55,50,7.1,5.4
1/6/2021 5:30,30.863,4647.1,12.1,117.5,54,50,7.2,5.4
1/6/2021 6:00,30.864,4910.46,12,117.8,58,70,7,7.6
1/6/2021 6:30,30.863,4865.39,12,117.5,56,50,7.6,7.6
1/6/2021 7:00,30.863,4996.29,12,117.8,61,60,7.2,9.4
1/6/2021 7:30,30.863,5039.96,12,117.8,55,60,8.4,9.4
1/6/2021 8:00,30.861,4862.4,12,117.8,57,40,8.4,9.4
1/6/2021 8:30,30.863,4865.35,12,118.2,56,50,9.1,9.4
1/6/2021 9:00,30.863,4821.74,12.1,118.5,54,50,9.9,11.2
1/6/2021 9:30,30.865,5175.22,12.1,119.2,51,50,10.7,13
1/6/2021 10:00,30.864,5041.16,12.3,118.5,47,20,12,13
1/6/2021 10:30,30.853,4412.69,12.4,117.8,47,40,13,13
1/6/2021 11:00,30.851,4366.52,12.5,119.9,44,40,14.3,11.2
1/6/2021 11:30,30.855,4503.87,12.6,118.9,39,40,16.4,11.2
1/6/2021 12:00,30.854,4371.57,12.6,118,35,10,17.9,13
1/6/2021 12:30,30.851,4280.37,12.6,118.4,34,360,18,16.6
1/6/2021 13:00,30.852,4238.01,12.6,118.7,34,360,18.1,14.8
1/6/2021 13:30,30.851,4323.34,12.6,118.6,35,350,17.7,13
1/6/2021 14:00,30.854,4196.76,12.6,118.6,35,10,17.7,11.2
1/6/2021 14:30,30.852,4324.56,12.6,118.6,35,360,17.6,11.2
1/6/2021 15:00,30.854,4370.74,12.6,119.2,36,350,17.5,9.4
1/6/2021 15:30,30.854,4283.75,12.6,119.6,35,360,17.3,13
1/6/2021 16:00,30.853,4630.27,12.6,118.9,35,360,17.3,9.4
1/6/2021 16:30,30.854,4501.23,12.6,118.5,36,0,17.1,0
1/6/2021 17:00,30.853,4499.78,12.6,118.9,41,50,16.3,1.8
1/6/2021 17:30,30.853,4240.05,12.5,118.8,46,40,15.2,5.4
1/6/2021 18:00,30.848,4405.85,12.5,118.2,49,90,14.1,5.4
1/6/2021 18:30,30.851,4453.51,12.5,118.5,48,50,14.1,11.2
1/6/2021 19:00,30.851,4410.1,12.4,118.9,48,40,14.3,11.2
1/6/2021 19:30,30.85,4452.16,12.4,118.5,45,50,14.6,11.2
1/6/2021 20:00,30.851,4497.01,12.3,118.5,45,70,14.5,9.4
1/6/2021 20:30,30.849,4407.34,12.3,118.5,53,60,12,9.4
1/6/2021 21:00,30.851,4453.56,12.3,118.5,56,50,11.2,9.4
1/6/2021 21:30,30.854,4588.22,12.2,118.2,57,40,11.1,9.4
1/6/2021 22:00,30.852,4585.36,12.2,118.2,63,50,9.5,9.4
1/6/2021 22:30,30.854,4501.23,12.1,118.2,64,50,9.4,9.4
1/6/2021 23:00,30.854,4633.18,12.1,118.5,65,50,9.1,9.4
1/6/2021 23:30,30.855,4459.5,12.1,118.2,64,50,9.2,7.6
2/6/2021 0:00,30.855,4416.03,12.1,118.2,67,50,8.3,7.6
2/6/2021 0:30,30.856,4592.93,12.1,118.2,69,60,7.7,7.6
2/6/2021 1:00,30.856,4505.96,12.1,117.9,67,60,8.7,9.4
2/6/2021 1:30,30.856,4331.94,12.1,118.3,68,50,8.2,9.4
2/6/2021 2:00,30.857,4463.95,12,118.3,70,80,7.6,7.6
2/6/2021 2:30,30.857,4507.53,12.1,118.3,70,80,7.7,7.6
2/6/2021 3:00,30.857,4551.09,12.1,118.6,70,70,7.8,7.6
2/6/2021 3:30,30.858,4552.43,12,118.3,70,80,8.2,7.6
2/6/2021 4:00,30.859,4466.74,12,118.3,70,90,8.4,5.4
